exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,1,elevators-sat11-strips/p09,goal_chains,0.184186,True,9.64377,False,True,0,124,0.120319,36,124,0,36,0,1,236,6,88,0,124,0,0.125014,0,0
0,2,elevators-sat11-strips/p09,linear,0.24131,True,9.9652,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p09,relaxed,6.04014,True,15.6688,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p10,goal_chains,0.155971,True,13.1511,False,True,0,126,0.0905449,39,126,0,39,0,1,264,6,87,0,126,0,0.0967488,0,0
0,2,elevators-sat11-strips/p10,linear,0.223836,True,14.2298,False,True,,,,,,,,,,,,,,,,,,
0,4,elevators-sat11-strips/p10,relaxed,9.53832,True,22.0411,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p12,goal_chains,1.74741,True,25.114,False,True,0,164,1.62385,43,164,0,43,0,1,524,9,121,0,164,0,1.63926,0,0
0,2,elevators-sat11-strips/p12,linear,2.58285,True,28.32,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p12,relaxed,7.0846,True,36.0195,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p13,goal_chains,2.10149,True,33.6655,False,True,0,174,1.94367,46,174,0,46,0,1,562,9,128,0,174,0,1.96028,0,0
0,2,elevators-sat11-strips/p13,linear,0.496545,True,31.4704,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p13,relaxed,16.8364,True,49.7116,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p14,goal_chains,1.62905,True,37.2733,False,True,0,170,1.44615,49,170,0,49,0,1,614,9,121,0,170,0,1.46843,0,0
0,2,elevators-sat11-strips/p14,linear,0.681233,True,39.2358,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p14,relaxed,10.198,True,48.6641,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p15,goal_chains,1.82243,True,42.4878,False,True,0,188,1.64289,52,188,0,52,0,1,644,9,136,0,188,0,1.66472,0,0
0,2,elevators-sat11-strips/p15,linear,0.620547,True,41.9476,False,True,,,,,,,,,,,,,,,,,,
0,3,elevators-sat11-strips/p15,relaxed,26.9489,True,69.1108,False,True,,,,,,,,,,,,,,,,,,
0,1,elevators-sat11-strips/p16,goal_chains,1.82827,True,29.2221,False,True,0,154,1.68179,40,154,0,40,0,1,486,9,114,0,154,0,1.69561,0,0
