batch,exit,horizon,instance,order,search,solved,total,trivial,valid,gc_alternatives,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_deep_fallbacks,gc_distinct,gc_exact_sccs,gc_explored_states,gc_factors_covered,gc_factors_with_moves,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pair_chains,gc_pairs_weight,gc_proven,gc_sccs,gc_selection_rounds,gc_skipped_budget,gc_subgoal_chains,gc_switches,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated,gc_work
full2,0,4,nomystery-sat11-strips/p02,gc3_w20M,0.113603,True,0.132982,False,True,18,0,119,0.008765,18,0,20,1,22668,9,9,7,0,15,37,3.61111,11,101,1,6,0,0,0,0,0,0.0234494,0,22,102392
full2,0,7,nomystery-sat11-strips/p05,gc3,6.05142,True,6.16027,False,True,27,12,245,0.126888,27,0,33,1,243834,12,12,10,0,32,80,3.40741,17,218,1,2,0,0,0,0,0,0.317972,0,36,1244597
full2,0,7,nomystery-sat11-strips/p05,gc3_w20M,5.59478,True,5.69522,False,True,27,12,245,0.125605,27,0,33,1,243834,12,12,10,0,32,80,3.40741,17,218,1,2,0,0,0,0,0,0.30892,0,36,1244597
full2,0,9,nomystery-sat11-strips/p07,gc3,25.3281,True,25.5005,False,True,33,20,287,0.155868,33,0,38,1,321881,14,14,12,0,33,121,3.33333,21,252,1,6,0,0,0,0,0,0.81419,0,39,1649182
full2,0,9,nomystery-sat11-strips/p07,gc3_w20M,21.6082,True,21.7801,False,True,33,20,287,0.162403,33,0,38,1,321881,14,14,12,0,33,121,3.33333,21,252,1,6,0,0,0,0,0,0.7682,0,39,1649182
full2,0,8,nomystery-sat11-strips/p08,gc3,13.0306,True,13.1487,False,True,36,8,305,0.169106,36,0,38,1,321586,15,15,13,0,37,144,3.52778,23,259,0,2,0,0,0,0,0,1.20907,0,56,1591303
full2,0,8,nomystery-sat11-strips/p08,gc3_w20M,13.5112,True,13.6319,False,True,36,8,305,0.168303,36,0,38,1,321586,15,15,13,0,37,144,3.52778,23,259,0,2,0,0,0,0,0,1.30429,0,56,1591303
full2,0,4,nomystery-sat11-strips/p12,gc3,0.107406,True,0.123445,False,True,18,0,119,0.00641803,18,0,20,1,15250,9,9,7,0,15,37,3.61111,11,101,1,6,0,0,0,0,0,0.0219376,0,22,77921
full2,0,4,nomystery-sat11-strips/p12,gc3_w20M,0.105783,True,0.120971,False,True,18,0,119,0.00654345,18,0,20,1,15250,9,9,7,0,15,37,3.61111,11,101,1,6,0,0,0,0,0,0.0219388,0,22,77921
full2,0,7,nomystery-sat11-strips/p14,gc3,4.51704,True,4.57392,False,True,24,2,195,0.0593562,24,0,26,1,120063,11,11,9,0,22,65,3.58333,15,171,1,5,0,0,0,0,0,0.0696295,0,24,611141
full2,0,7,nomystery-sat11-strips/p14,gc3_w20M,4.46736,True,4.52724,False,True,24,2,195,0.0656764,24,0,26,1,120063,11,11,9,0,22,65,3.58333,15,171,1,5,0,0,0,0,0,0.0762498,0,24,611141
full2,0,8,nomystery-sat11-strips/p15,gc3,31.9946,True,32.0673,False,True,27,10,245,0.122526,27,0,33,1,240528,12,12,10,0,32,80,3.44444,17,218,1,2,0,0,0,0,0,0.323045,0,36,1289232
full2,0,8,nomystery-sat11-strips/p15,gc3_w20M,27.227,True,27.2902,False,True,27,10,245,0.106713,27,0,33,1,240528,12,12,10,0,32,80,3.44444,17,218,1,2,0,0,0,0,0,0.28477,0,36,1289232
full2,0,9,nomystery-sat11-strips/p18,gc3,61.5988,True,61.689,False,True,36,8,305,0.16104,36,0,38,1,301927,15,15,13,0,37,144,3.52778,23,259,0,2,0,0,0,0,0,1.25904,0,56,1559769
full2,0,9,nomystery-sat11-strips/p18,gc3_w20M,61.8584,True,61.9474,False,True,36,8,305,0.153016,36,0,38,1,301927,15,15,13,0,37,144,3.52778,23,259,0,2,0,0,0,0,0,1.3687,0,56,1559769
full2,0,3,openstacks-opt08-strips/p04,gc3,0.516861,True,0.524095,False,True,8,24,121,0.498983,8,2,25,0,443477,17,17,8,0,1,0,8.125,0,101,0,25,0,15,0,0,0,0.499156,0,0,5689758
full2,0,3,openstacks-opt08-strips/p04,gc3_w20M,1.79053,True,1.79762,False,True,21,84,396,1.79399,21,0,25,1,1596213,17,17,8,0,5,0,10.0476,13,336,1,21,0,0,0,0,0,1.79438,0,3,20009765
full2,0,5,openstacks-opt08-strips/p11,gc3,3.56532,True,3.59053,False,True,15,20,118,0.682589,15,3,46,1,301114,31,31,15,0,25,0,6,0,96,1,22,0,30,0,0,0,0.687717,0,4,6421848
full2,0,4,openstacks-opt08-strips/p11,gc3_w20M,2.47174,True,2.49525,False,True,15,65,215,2.02927,15,2,46,1,973425,31,31,15,0,26,0,11.2,0,182,1,21,0,29,0,0,0,2.03961,0,12,20803316
full2,0,4,openstacks-opt08-strips/p12,gc3,1.12198,True,1.1363,False,True,16,15,106,0.566782,16,3,49,1,274208,33,33,16,0,9,0,5.25,0,89,1,41,0,32,0,0,0,0.567306,0,2,5664976
full2,0,4,openstacks-opt08-strips/p12,gc3_w20M,3.55383,True,3.56659,False,True,16,55,188,1.90757,16,3,49,2,1026397,33,33,16,0,9,0,9.6875,0,161,2,37,0,32,0,0,0,1.90825,0,4,21213057
full2,0,5,openstacks-opt08-strips/p13,gc3,6.9151,True,6.98876,False,True,17,15,109,0.61966,17,3,52,1,275557,35,35,17,0,7,0,5.11765,0,87,1,46,0,34,0,0,0,0.620222,0,1,5930988
full2,0,5,openstacks-opt08-strips/p13,gc3_w20M,9.305,True,9.36309,False,True,17,55,191,2.11808,17,3,52,2,1009491,35,35,17,0,22,0,9.23529,0,160,2,29,0,34,0,0,0,2.12007,0,6,21861446
full2,0,5,openstacks-opt08-strips/p14,gc3,6.5479,True,6.582,False,True,18,15,112,0.725051,18,3,55,1,288821,37,37,18,0,11,0,5.33333,0,90,1,45,0,36,0,0,0,0.725787,0,1,6461501
full2,0,5,openstacks-opt08-strips/p14,gc3_w20M,15.7259,True,15.7546,False,True,18,50,175,2.00122,18,3,55,2,945539,37,37,18,0,19,0,9.11111,0,144,2,36,0,36,0,0,0,2.00388,0,6,21561158
full2,0,5,openstacks-opt08-strips/p15,gc3,14.3973,True,14.508,False,True,19,17,114,0.677178,19,3,58,1,279949,39,39,19,0,13,0,4.89474,0,91,1,46,0,38,0,0,0,0.678339,0,2,6347549
full2,0,5,openstacks-opt08-strips/p15,gc3_w20M,20.3354,True,20.4372,False,True,19,53,181,2.0411,19,3,58,1,870434,39,39,19,0,13,0,7.73684,0,145,1,46,0,38,0,0,0,2.04312,0,3,20285605
full2,0,6,openstacks-opt08-strips/p16,gc3,16.5136,True,16.6117,False,True,20,18,119,0.668214,20,3,61,1,274645,41,41,20,0,27,0,5.25,0,96,1,35,0,40,0,0,0,0.672634,0,3,6412978
full2,0,6,openstacks-opt08-strips/p16,gc3_w20M,121.459,True,121.554,False,True,20,66,169,2.57137,20,3,61,1,996798,41,41,20,0,27,0,9.35,0,138,1,35,0,40,0,0,0,2.57637,0,6,22184668
full2,0,3,parcprinter-08-strips/p04,gc3,0.251438,True,0.270796,False,True,30,5,409,0.214588,30,0,33,1,127845,34,34,12,0,16,27,20.2667,18,379,1,18,0,0,0,0,0,0.237441,0,39,2577076
full2,0,3,parcprinter-08-strips/p04,gc3_w20M,0.240927,True,0.261418,False,True,30,5,409,0.204583,30,0,33,1,127845,34,34,12,0,16,27,20.2667,18,379,1,18,0,0,0,0,0,0.226938,0,39,2577076
full2,0,3,parcprinter-08-strips/p07,gc3,0.691064,True,0.765114,False,True,35,15,429,0.526797,35,0,60,1,349188,49,49,21,0,30,48,20.0857,14,394,1,31,0,19,0,0,0,0.669703,0,44,5671545
full2,0,2,parcprinter-08-strips/p07,gc3_w20M,1.44751,True,1.51486,False,True,54,55,781,1.02248,54,0,60,1,698773,49,49,21,0,30,48,20.6481,33,727,1,31,0,0,0,0,0,1.43776,0,81,13170165
full2,0,2,parcprinter-08-strips/p09,gc3,0.557544,True,0.691487,False,True,44,15,555,0.484143,44,0,70,2,297407,59,59,27,0,22,62,19.8636,17,511,2,33,0,26,0,0,0,0.540007,0,66,5619582
full2,0,3,parcprinter-08-strips/p09,gc3_w20M,1.06153,True,1.18704,False,True,70,25,1117,0.971619,70,0,70,2,581301,59,59,27,0,22,62,20.6286,43,1047,2,33,0,0,0,0,0,1.03342,0,128,12269884
full2,0,2,parcprinter-08-strips/p10,gc3,0.970854,True,1.15815,False,True,57,15,819,0.529778,57,0,75,4,293976,64,64,30,0,30,69,19.8947,27,762,4,43,0,21,0,0,0,0.953879,0,98,6254581
full2,0,2,parcprinter-08-strips/p10,gc3_w20M,1.21991,True,1.37123,False,True,78,25,1263,0.824189,78,0,75,4,509174,64,64,30,0,30,69,20.4103,48,1185,4,43,0,0,0,0,0,1.2063,0,156,11131718
full2,0,1,parcprinter-08-strips/p14,gc3,0.556857,True,0.592489,False,True,22,35,264,0.567532,22,0,35,3,313863,39,39,12,0,2,50,20.7273,10,242,3,32,0,8,0,0,0,0.568907,0,4,5717859
full2,0,1,parcprinter-08-strips/p14,gc3_w20M,0.770361,True,0.804751,False,True,30,60,389,0.760325,30,0,35,3,458881,39,39,12,0,2,50,21.6333,18,359,3,32,0,0,0,0,0,0.761508,0,4,9105011
full2,0,2,parcprinter-08-strips/p20,gc3,0.544372,True,0.951231,False,True,37,45,357,0.47548,37,0,89,1,245418,77,77,31,0,10,126,20.973,6,320,1,80,0,44,0,0,0,0.485815,0,1,5267690
full2,0,2,parcprinter-08-strips/p20,gc3_w20M,1.88,True,2.26929,False,True,54,125,676,1.75416,54,0,89,1,996966,77,77,31,0,53,126,20.8333,23,622,1,37,0,27,0,0,0,1.8266,0,15,20004006
full2,0,3,parcprinter-08-strips/p28,gc3,1.21322,True,1.2883,False,True,48,22,699,0.48427,48,0,49,2,362662,56,56,24,0,32,34,15.8333,24,651,2,15,0,14,0,0,0,1.18617,0,102,5388817
full2,0,3,parcprinter-08-strips/p28,gc3_w20M,2.02964,True,2.10165,False,True,62,22,983,0.635632,62,0,49,2,450282,56,56,24,0,32,34,16.3226,38,921,2,15,0,0,0,0,0,2.00446,0,149,6981208
full2,0,2,pathways-noneg/p04,gc3,0.0133744,True,0.0696242,False,True,8,0,36,0.00392862,8,0,18,1,3297,28,64,4,0,2,77,12.375,4,28,1,17,0,0,0,0,0,0.00550625,0,1,33526
full2,0,2,pathways-noneg/p04,gc3_w20M,0.0129847,True,0.067201,False,True,8,0,36,0.00365716,8,0,18,1,3297,28,64,4,0,2,77,12.375,4,28,1,17,0,0,0,0,0,0.00516968,0,1,33526
full2,0,4,pathways-noneg/p10,gc3,1.01489,True,2.47946,False,True,31,28,161,0.849068,31,0,64,1,468964,74,155,14,0,20,229,14.7097,17,130,1,45,0,5,0,0,0,0.875266,0,4,5572365
full2,0,4,pathways-noneg/p10,gc3_w20M,1.21135,True,2.68517,False,True,36,38,196,1.04025,36,0,68,1,612664,74,155,14,0,25,225,14.9444,22,160,1,44,0,0,0,0,0,1.06156,0,5,7387231
