instance,base_order,base_horizon,base_total,base_search,base_valid,plan_labels,distinct,fixed_breaks,first_occ_horizon,predicted_horizon,infer_optimal,infer_time,opt_horizon,opt_total,opt_search,opt_valid,iterations,horizon_chain,final_predicted,final_horizon,final_total,final_search,final_valid,infer_time_total,all_valid,note
driverlog/pfile18,label_order_linear(),7,460.19,458.612,True,90,65,0,17,6,1,1.765,4,221.605,219.597,True,2,6/4>4/4,4,4,111.616,110.028,True,11.13,True,
driverlog/pfile18,label_order_relaxed(),6,392.11,390.57,True,132,98,0,19,6,1,4.775,4,114.173,112.522,True,3,6/4>4/3>3/3,3,3,47.059,45.6487,True,14.014,True,
driverlog/pfile3,label_order_linear(),3,0.0125695,0.00705197,True,16,14,0,2,2,1,0.004,2,0.0100516,0.00611903,True,1,2/2,2,2,0.0100516,0.00611903,True,0.004,True,
driverlog/pfile3,label_order_relaxed(),2,0.0118479,0.00625102,True,16,12,0,2,2,1,0.003,2,0.00977466,0.00567416,True,1,2/2,2,2,0.00977466,0.00567416,True,0.003,True,
elevators-00-strips/s1-2,label_order_linear(),,0.00119678,,True,,,,,,,,,,,,,,,,,,,,,trivial
elevators-00-strips/s1-2,label_order_relaxed(),,0.0025441,,True,,,,,,,,,,,,,,,,,,,,,trivial
elevators-opt08-strips/p14,label_order_linear(),2,0.0252494,0.00793904,True,18,16,0,2,2,1,0.005,1,0.0236795,0.00566099,True,2,2/1>1/1,1,1,0.0213887,0.00538963,True,0.005,True,
elevators-opt08-strips/p14,label_order_relaxed(),2,0.025332,0.00736812,True,14,14,0,1,1,1,0.0,1,0.0237205,0.00606751,True,1,1/1,1,1,0.0237205,0.00606751,True,0.0,True,
ferry/p-10locs-5cars,label_order_linear(),1,0.00977785,0.00399813,True,10,10,0,1,1,1,0.0,1,0.00924546,0.00408423,True,1,1/1,1,1,0.00924546,0.00408423,True,0.0,True,
ferry/p-10locs-5cars,label_order_relaxed(),5,0.0140884,0.00871101,True,10,10,0,1,1,1,0.0,1,0.00991297,0.00420228,True,1,1/1,1,1,0.00991297,0.00420228,True,0.0,True,
ferry/p-10locs-7cars,label_order_linear(),1,0.0100554,0.00385592,True,10,10,0,1,1,1,0.0,1,0.0113636,0.00398146,True,1,1/1,1,1,0.0113636,0.00398146,True,0.0,True,
ferry/p-10locs-7cars,label_order_relaxed(),5,0.018115,0.0102696,True,10,10,0,1,1,1,0.0,1,0.0114572,0.00402783,True,1,1/1,1,1,0.0114572,0.00402783,True,0.0,True,
freecell/pfile17,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
freecell/pfile17,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
freecell/probfreecell-4-3,label_order_linear(),2,4.3403,3.84235,True,24,24,0,1,1,1,0.0,1,1.14897,0.627039,True,1,1/1,1,1,1.14897,0.627039,True,0.0,True,
freecell/probfreecell-4-3,label_order_relaxed(),1,1.8358,1.24026,True,27,27,0,1,1,1,0.0,1,0.923032,0.377818,True,1,1/1,1,1,0.923032,0.377818,True,0.0,True,
grid/prob01,label_order_linear(),4,63.6942,63.5632,True,18,17,0,2,2,1,0.006,1,20.0706,19.9554,True,2,2/1>1/1,1,1,12.2552,12.1256,True,0.006,True,
grid/prob01,label_order_relaxed(),2,60.7777,60.651,True,12,12,0,1,1,1,0.0,1,20.0235,19.9079,True,1,1/1,1,1,20.0235,19.9079,True,0.0,True,
grid/prob03,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
grid/prob03,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
gripper/prob01,label_order_linear(),3,0.00938849,0.00626012,True,8,8,0,1,1,1,0.0,1,0.00668535,0.00417942,True,1,1/1,1,1,0.00668535,0.00417942,True,0.0,True,
gripper/prob01,label_order_relaxed(),2,0.0095511,0.00573527,True,8,8,0,1,1,1,0.0,1,0.00627609,0.0041948,True,1,1/1,1,1,0.00627609,0.0041948,True,0.0,True,
gripper/prob03,label_order_linear(),5,0.255485,0.249649,True,16,16,0,1,1,1,0.0,1,0.010949,0.00640337,True,1,1/1,1,1,0.010949,0.00640337,True,0.0,True,
gripper/prob03,label_order_relaxed(),4,0.214911,0.208594,True,16,16,0,1,1,1,0.0,1,0.0107669,0.00550833,True,1,1/1,1,1,0.0107669,0.00550833,True,0.0,True,
logistics00/adl-98-prob03,label_order_linear(),,0.163702,,True,,,,,,,,,,,,,,,,,,,,,trivial
logistics00/adl-98-prob03,label_order_relaxed(),,0.192781,,True,,,,,,,,,,,,,,,,,,,,,trivial
miconic/s1-2,label_order_linear(),,0.00152013,,True,,,,,,,,,,,,,,,,,,,,,trivial
miconic/s1-2,label_order_relaxed(),,0.0026985,,True,,,,,,,,,,,,,,,,,,,,,trivial
movie/prob03,label_order_linear(),,0.00185242,,True,,,,,,,,,,,,,,,,,,,,,trivial
movie/prob03,label_order_relaxed(),,0.00286889,,True,,,,,,,,,,,,,,,,,,,,,trivial
mprime/prob04,label_order_linear(),4,1.16468,1.11811,True,91,67,0,18,4,1,2.42,3,0.263981,0.220049,True,2,4/3>3/3,3,3,0.412805,0.364763,True,3.835,True,
mprime/prob04,label_order_relaxed(),1,0.0972362,0.043916,True,41,41,0,1,1,1,0.0,1,0.0747556,0.0230164,True,1,1/1,1,1,0.0747556,0.0230164,True,0.0,True,
mprime/prob11,label_order_linear(),3,0.272991,0.221739,True,71,56,0,15,3,1,0.88,3,0.354979,0.298558,True,1,3/3,3,3,0.354979,0.298558,True,0.88,True,
mprime/prob11,label_order_relaxed(),2,0.190106,0.134351,True,50,44,0,7,2,1,0.319,2,0.114404,0.0585271,True,1,2/2,2,2,0.114404,0.0585271,True,0.319,True,
mprime/prob16,label_order_linear(),2,15.149,13.713,True,96,83,0,9,2,1,2.384,1,8.22646,6.76898,True,2,2/1>1/1,1,1,6.62204,4.75614,True,2.384,True,
mprime/prob16,label_order_relaxed(),1,9.46349,8.01568,True,62,62,0,1,1,1,0.0,1,9.46342,8.2505,True,1,1/1,1,1,9.46342,8.2505,True,0.0,True,
mprime/prob18,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
mprime/prob18,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
mprime/prob32,label_order_linear(),3,2.4048,2.22953,True,23,23,0,1,1,1,0.0,1,0.593859,0.417966,True,1,1/1,1,1,0.593859,0.417966,True,0.0,True,
mprime/prob32,label_order_relaxed(),2,1.59702,1.40545,True,20,20,0,1,1,1,0.0,1,1.81097,1.60624,True,1,1/1,1,1,1.81097,1.60624,True,0.0,True,
mystery/prob20,label_order_linear(),3,58.37,56.9383,True,45,40,0,6,3,1,0.168,2,41.4979,39.2904,True,3,3/2>2/1>1/1,1,1,11.3432,9.91171,True,0.319,True,
mystery/prob20,label_order_relaxed(),2,46.0914,44.1502,True,44,43,0,2,2,1,0.067,1,12.746,10.8197,True,2,2/1>1/1,1,1,13.7113,11.5498,True,0.067,True,
mystery/prob23,label_order_linear(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
mystery/prob23,label_order_relaxed(),,,,,,,,,,,,,,,,,,,,,,,,,base unsolved
mystery/prob28,label_order_linear(),4,0.0354864,0.0273425,True,13,9,0,4,3,1,0.005,3,0.0261598,0.0183215,True,1,3/3,3,3,0.0261598,0.0183215,True,0.005,True,
mystery/prob28,label_order_relaxed(),2,0.0208426,0.0138079,True,9,9,0,1,1,1,0.0,1,0.0169999,0.00882763,True,1,1/1,1,1,0.0169999,0.00882763,True,0.0,True,
nomystery-opt11-strips/p06,label_order_linear(),9,4.84216,4.7554,True,28,22,0,7,6,1,0.018,6,0.766249,0.691295,True,1,6/6,6,6,0.766249,0.691295,True,0.018,True,
nomystery-opt11-strips/p06,label_order_relaxed(),8,6.43518,6.35539,True,30,25,0,5,4,1,0.029,3,0.353612,0.276045,True,2,4/3>3/3,3,3,0.371608,0.28933,True,0.062,True,
nomystery-opt11-strips/p07,label_order_linear(),10,13.9187,13.8346,True,35,29,0,5,5,1,0.026,5,2.09623,2.01487,True,1,5/5,5,5,2.09623,2.01487,True,0.026,True,
